,id,feature,answer
0,95,2.45,4
1,95,0.59,1
2,95,0.65,2
3,9,2.15,4
4,9,1.52,3
5,9,0.54,1
6,9,0.72,2
7,295,3.51,4
8,295,1.32,3
9,295,0.84,2
10,295,0.55,1
11,199,4.3,4
12,135,2.46,4
13,135,1.57,3
14,135,0.65,2
15,135,0.39,1
16,122,2.37,4
17,122,1.33,3
18,122,0.71,2
19,122,0.59,1
20,39,3.31,4
21,39,1.49,3
22,39,0.74,2
23,39,0.52,1
24,11,2.46,4
25,11,1.5,3
26,11,0.7,2
27,11,0.45,1
28,88,2.43,4
29,88,1.35,3
30,88,0.71,2
31,88,0.48,1
32,140,2.53,4
33,140,1.47,3
34,140,0.68,2
35,140,0.34,1
36,22,1.92,4
37,22,1.34,3
38,22,0.77,2
39,22,0.49,1
40,45,2.55,4
41,45,2.27,3
42,45,0.96,2
43,45,0.7,1
44,197,2.29,4
45,197,0.6,2
46,197,0.49,1
